1998de,1.881,LifanWang,Matheson2008,0.01540,NEDhost,17.31,0.07,XWang2006,16.83,0,Jha2006,0.030788672,SA(r)0+,0.246,0.057,NED,0.02,0.06,XWang2006,0.000087,-3.061,0.133,0.443,0.029,Arsenijevic2011
1998dh,1.2575209,LifanWang,Matheson2008,0.00773,NEDhost,13.81,0.08,XWang2006,13.99,0,Jha2006,0.038070416,SB(rs)bc pec,0.292,0.068,NED,0.20,0.04,XWang2009,0.000087,-0.692,0.106,0.055,0.027,Arsenijevic2011
1998dk,1.3441594,LifanWang,Matheson2008,0.01204,NEDhost,14.93,0,Jha2006,14.74,0,Jha2006,0.077422223,SAB(s)c,0.188,0.044,NED,0.29,0.07,XWang2009,?,?,?,?,?,?
1998dm,0.98293120,LifanWang,Matheson2008,0.00556,LifanWang2006,14.761,0.042,LifanWang2006,14.551,0.029,LifanWang2006,0.33908726,SBc,0.190,0.044,NED,0.39,0.05,XWang2009,0.000073,0.592,0.251,0.245,0.031,Arsenijevic2011
1998dx,1.55,Reindl2005,Blondin2010,0.0539,Blondin2010,17.536,0.037,Blondin2010,?,?,?,?,E,?,0.041,Reindl2005,-0.068,?,Reindl2005,?,-1.890,0.457,-0.051,0.027,Blondin2010
1998ec,1.0739381,LifanWang,Matheson2008,0.02012,LifanWang2006,16.309,0.059,LifanWang2006,16.134,0.056,LifanWang2006,0.028325492,SB(s)b,0.365,0.085,NED,0.36,0.05,XWang2009,0.000020,-0.188,0.323,0.134,0.057,Arsenijevic2011
1998eg,1.15,Jha2006,Matheson2008,0.02354,NEDhost,16.07,0.07,XWang2006,16.50,0,Jha2006,0.09,?,0.530,0.123,NED,0.12,0.06,XWang2009,0.000087,-0.956,0.366,0.048,0.019,Blondin2010
1998es,0.74527198,LifanWang,Matheson2008,0.00957,LifanWang2006,13.81,0.07,XWang2006,13.760,0.008,LifanWang2006,0.012972386,S0,0.140,0.032,NED,0.15,0.05,XWang2006,0.000073,1.011,0.119,0.036,0.025,Arsenijevic2011
1998V,1.1495976,LifanWang,Matheson2008,0.01719,NEDhost,15.06,0.08,XWang2006,15.71,0,Jha2006,0.025433832,SB(s)b,0.845,0.196,NED,0.06,0.04,XWang2006,0.000037,-0.435,0.161,0.031,0.015,Blondin2010
1999aa,0.811,LifanWang,LifanWang,0.01525,LifanWang2006,14.71,0.07,XWang2006,14.722,0.009,LifanWang2006,0.0042084171,SAB(rs)c,0.173,0.040,NED,0.05,0.04,XWang2006,0.000057,0.896,0.073,-0.019,0.009,Blondin2010
